# Dia       	# Fase	# Símbolo	# Nome
2028-11-16	27.943	🌑	Lua nova
2028-11-24	 7.415	🌓	Quarto crescente
2028-12-02	14.399	🌕	Lua cheia
2028-12-09	21.270	🌗	Quarto minguante
2028-12-16	 0.402	🌑	Lua nova
2028-12-23	 6.657	🌓	Quarto crescente
2028-12-31	13.803	🌕	Lua cheia
2029-01-07	20.938	🌗	Quarto minguante
2029-01-14	27.792	🌑	Lua nova
2029-01-22	 6.737	🌓	Quarto crescente
2029-01-30	14.259	🌕	Lua cheia
2029-02-05	20.585	🌗	Quarto minguante
2029-02-13	 0.053	🌑	Lua nova
2029-02-21	 6.884	🌓	Quarto crescente
2029-02-28	13.764	🌕	Lua cheia
2029-03-07	21.166	🌗	Quarto minguante
2029-03-15	 0.271	🌑	Lua nova
2029-03-23	 7.170	🌓	Quarto crescente
2029-03-30	14.399	🌕	Lua cheia
2029-04-05	20.655	🌗	Quarto minguante
2029-04-13	27.623	🌑	Lua nova
2029-04-21	 6.648	🌓	Quarto crescente
2029-04-28	14.017	🌕	Lua cheia
2029-05-05	21.044	🌗	Quarto minguante
2029-05-13	27.902	🌑	Lua nova
2029-05-21	 7.281	🌓	Quarto crescente
2029-05-27	13.660	🌕	Lua cheia
2029-06-04	21.349	🌗	Quarto minguante
2029-06-12	 0.270	🌑	Lua nova
2029-06-19	 7.047	🌓	Quarto crescente
2029-06-26	14.320	🌕	Lua cheia
2029-07-03	20.752	🌗	Quarto minguante
2029-07-11	27.807	🌑	Lua nova
2029-07-18	 6.860	🌓	Quarto crescente
2029-07-25	13.896	🌕	Lua cheia
2029-08-02	20.991	🌗	Quarto minguante
2029-08-10	 0.386	🌑	Lua nova
2029-08-16	 6.662	🌓	Quarto crescente
2029-08-24	14.343	🌕	Lua cheia
2029-09-01	21.232	🌗	Quarto minguante
2029-09-08	 0.011	🌑	Lua nova
2029-09-15	 7.390	🌓	Quarto crescente
2029-09-22	13.801	🌕	Lua cheia
2029-09-30	20.631	🌗	Quarto minguante
2029-10-07	27.619	🌑	Lua nova
2029-10-14	 6.994	🌓	Quarto crescente
2029-10-22	14.054	🌕	Lua cheia
2029-10-30	21.018	🌗	Quarto minguante
2029-11-06	 0.351	🌑	Lua nova
2029-11-13	 7.432	🌓	Quarto crescente
2029-11-21	14.281	🌕	Lua cheia
2029-11-28	20.523	🌗	Quarto minguante
2029-12-05	27.870	🌑	Lua nova
2029-12-12	 6.786	🌓	Quarto crescente
2029-12-20	13.607	🌕	Lua cheia
2029-12-28	21.091	🌗	Quarto minguante
2030-01-04	 0.394	🌑	Lua nova
2030-01-11	 6.925	🌓	Quarto crescente
2030-01-19	13.848	🌕	Lua cheia
2030-01-26	20.735	🌗	Quarto minguante
2030-02-02	27.831	🌑	Lua nova
2030-02-10	 7.006	🌓	Quarto crescente
2030-02-18	14.236	🌕	Lua cheia
2030-02-25	21.423	🌗	Quarto minguante
2030-03-04	 0.208	🌑	Lua nova
2030-03-12	 7.114	🌓	Quarto crescente
2030-03-19	13.739	🌕	Lua cheia
2030-03-26	21.089	🌗	Quarto minguante
2030-04-02	27.595	🌑	Lua nova
2030-04-11	 7.298	🌓	Quarto crescente
2030-04-18	14.350	🌕	Lua cheia
2030-04-24	20.689	🌗	Quarto minguante
2030-05-02	27.886	🌑	Lua nova
2030-05-10	 6.761	🌓	Quarto crescente
2030-05-17	13.985	🌕	Lua cheia
2030-05-24	21.235	🌗	Quarto minguante
2030-06-01	 0.163	🌑	Lua nova
2030-06-09	 7.300	🌓	Quarto crescente
2030-06-15	13.648	🌕	Lua cheia
2030-06-22	20.761	🌗	Quarto minguante
2030-06-30	27.620	🌑	Lua nova
2030-07-08	 6.998	🌓	Quarto crescente
2030-07-15	14.389	🌕	Lua cheia
2030-07-22	21.103	🌗	Quarto minguante
2030-07-30	27.993	🌑	Lua nova
2030-08-06	 6.758	🌓	Quarto crescente
2030-08-13	14.011	🌕	Lua cheia
2030-08-21	21.342	🌗	Quarto minguante
2030-08-29	 0.479	🌑	Lua nova
2030-09-04	 6.534	🌓	Quarto crescente
2030-09-11	13.586	🌕	Lua cheia
2030-09-19	20.685	🌗	Quarto minguante
2030-09-27	 0.046	🌑	Lua nova
2030-10-04	 7.297	🌓	Quarto crescente
2030-10-11	14.008	🌕	Lua cheia
2030-10-19	20.861	🌗	Quarto minguante
2030-10-26	27.587	🌑	Lua nova
2030-11-02	 7.002	🌓	Quarto crescente
2030-11-10	14.302	🌕	Lua cheia
2030-11-18	21.130	🌗	Quarto minguante
2030-11-25	 0.239	🌑	Lua nova
2030-12-01	 6.561	🌓	Quarto crescente
2030-12-09	13.626	🌕	Lua cheia
2030-12-18	21.472	🌗	Quarto minguante
2030-12-24	27.744	🌑	Lua nova
2030-12-31	 6.939	🌓	Quarto crescente
2031-01-08	13.772	🌕	Lua cheia
2031-01-16	20.968	🌗	Quarto minguante
2031-01-23	 0.338	🌑	Lua nova
2031-01-30	 7.154	🌓	Quarto crescente
2031-02-07	13.971	🌕	Lua cheia
2031-02-14	20.549	🌗	Quarto minguante
2031-02-21	27.834	🌑	Lua nova
2031-03-01	 7.280	🌓	Quarto crescente
2031-03-09	14.295	🌕	Lua cheia
2031-03-16	21.229	🌗	Quarto minguante
2031-03-23	 0.331	🌑	Lua nova
2031-03-31	 7.368	🌓	Quarto crescente
2031-04-07	13.736	🌕	Lua cheia
2031-04-14	20.916	🌗	Quarto minguante
