# Dag       	# Fase	# Symbool	# Naam
2028-10-03	13.772	🌕	Volle maan
2028-10-11	20.921	🌗	Laatste kwartier
2028-10-18	 0.321	🌑	Nieuwe maan
2028-10-25	 7.186	🌓	Eerste kwartier
2028-11-02	14.062	🌕	Volle maan
2028-11-09	20.567	🌗	Laatste kwartier
2028-11-16	27.899	🌑	Nieuwe maan
2028-11-24	 7.380	🌓	Eerste kwartier
2028-12-02	14.360	🌕	Volle maan
2028-12-09	21.228	🌗	Laatste kwartier
2028-12-16	 0.362	🌑	Nieuwe maan
2028-12-23	 6.622	🌓	Eerste kwartier
2028-12-31	13.763	🌕	Volle maan
2029-01-07	20.896	🌗	Laatste kwartier
2029-01-14	27.753	🌑	Nieuwe maan
2029-01-22	 6.702	🌓	Eerste kwartier
2029-01-30	14.215	🌕	Volle maan
2029-02-05	20.543	🌗	Laatste kwartier
2029-02-13	 0.017	🌑	Nieuwe maan
2029-02-21	 6.848	🌓	Eerste kwartier
2029-02-28	13.718	🌕	Volle maan
2029-03-07	21.126	🌗	Laatste kwartier
2029-03-15	 0.236	🌑	Nieuwe maan
2029-03-23	 7.131	🌓	Eerste kwartier
2029-03-30	14.352	🌕	Volle maan
2029-04-05	20.615	🌗	Laatste kwartier
2029-04-13	27.588	🌑	Nieuwe maan
2029-04-21	 6.609	🌓	Eerste kwartier
2029-04-28	13.971	🌕	Volle maan
2029-05-05	21.007	🌗	Laatste kwartier
2029-05-13	27.866	🌑	Nieuwe maan
2029-05-21	 7.239	🌓	Eerste kwartier
2029-05-27	13.615	🌕	Volle maan
2029-06-04	21.313	🌗	Laatste kwartier
2029-06-12	 0.232	🌑	Nieuwe maan
2029-06-19	 7.004	🌓	Eerste kwartier
2029-06-26	14.278	🌕	Volle maan
2029-07-03	20.717	🌗	Laatste kwartier
2029-07-11	27.767	🌑	Nieuwe maan
2029-07-18	 6.817	🌓	Eerste kwartier
2029-07-25	13.856	🌕	Volle maan
2029-08-02	20.955	🌗	Laatste kwartier
2029-08-10	 0.343	🌑	Nieuwe maan
2029-08-16	 6.620	🌓	Eerste kwartier
2029-08-24	14.306	🌕	Volle maan
2029-09-01	21.196	🌗	Laatste kwartier
2029-09-08	27.967	🌑	Nieuwe maan
2029-09-15	 7.349	🌓	Eerste kwartier
2029-09-22	13.765	🌕	Volle maan
2029-09-30	20.595	🌗	Laatste kwartier
2029-10-07	27.573	🌑	Nieuwe maan
2029-10-14	 6.954	🌓	Eerste kwartier
2029-10-22	14.019	🌕	Volle maan
2029-10-30	20.979	🌗	Laatste kwartier
2029-11-06	 0.305	🌑	Nieuwe maan
2029-11-13	 7.394	🌓	Eerste kwartier
2029-11-21	14.245	🌕	Volle maan
2029-11-29	21.459	🌗	Laatste kwartier
2029-12-05	27.825	🌑	Nieuwe maan
2029-12-12	 6.749	🌓	Eerste kwartier
2029-12-20	13.571	🌕	Volle maan
2029-12-28	21.049	🌗	Laatste kwartier
2030-01-04	 0.351	🌑	Nieuwe maan
2030-01-11	 6.890	🌓	Eerste kwartier
2030-01-19	13.810	🌕	Volle maan
2030-01-26	20.692	🌗	Laatste kwartier
2030-02-02	27.790	🌑	Nieuwe maan
2030-02-10	 6.971	🌓	Eerste kwartier
2030-02-18	14.194	🌕	Volle maan
2030-02-25	21.381	🌗	Laatste kwartier
2030-03-04	 0.169	🌑	Nieuwe maan
2030-03-12	 7.078	🌓	Eerste kwartier
2030-03-19	13.695	🌕	Volle maan
2030-03-26	21.047	🌗	Laatste kwartier
