# Día       	# Fase	# Símbolo	# Nombre
2028-10-25	 7.186	🌓	Cuarto creciente
2028-11-02	14.062	🌕	Luna llena
2028-11-09	20.567	🌗	Cuarto menguante
2028-11-16	27.899	🌑	Luna nueva
2028-11-24	 7.380	🌓	Cuarto creciente
2028-12-02	14.360	🌕	Luna llena
2028-12-09	21.228	🌗	Cuarto menguante
2028-12-16	 0.362	🌑	Luna nueva
2028-12-23	 6.622	🌓	Cuarto creciente
2028-12-31	13.763	🌕	Luna llena
2029-01-07	20.896	🌗	Cuarto menguante
2029-01-14	27.753	🌑	Luna nueva
2029-01-22	 6.702	🌓	Cuarto creciente
2029-01-30	14.215	🌕	Luna llena
2029-02-05	20.543	🌗	Cuarto menguante
2029-02-13	 0.017	🌑	Luna nueva
2029-02-21	 6.848	🌓	Cuarto creciente
2029-02-28	13.718	🌕	Luna llena
2029-03-07	21.126	🌗	Cuarto menguante
2029-03-15	 0.236	🌑	Luna nueva
2029-03-23	 7.131	🌓	Cuarto creciente
2029-03-30	14.352	🌕	Luna llena
2029-04-05	20.615	🌗	Cuarto menguante
2029-04-13	27.588	🌑	Luna nueva
2029-04-21	 6.609	🌓	Cuarto creciente
2029-04-28	13.971	🌕	Luna llena
2029-05-05	21.007	🌗	Cuarto menguante
2029-05-13	27.866	🌑	Luna nueva
2029-05-21	 7.239	🌓	Cuarto creciente
2029-05-27	13.615	🌕	Luna llena
2029-06-04	21.313	🌗	Cuarto menguante
2029-06-12	 0.232	🌑	Luna nueva
2029-06-19	 7.004	🌓	Cuarto creciente
2029-06-26	14.278	🌕	Luna llena
2029-07-03	20.717	🌗	Cuarto menguante
2029-07-11	27.767	🌑	Luna nueva
2029-07-18	 6.817	🌓	Cuarto creciente
2029-07-25	13.856	🌕	Luna llena
2029-08-02	20.955	🌗	Cuarto menguante
2029-08-10	 0.343	🌑	Luna nueva
2029-08-16	 6.620	🌓	Cuarto creciente
2029-08-24	14.306	🌕	Luna llena
2029-09-01	21.196	🌗	Cuarto menguante
2029-09-08	27.967	🌑	Luna nueva
2029-09-15	 7.349	🌓	Cuarto creciente
2029-09-22	13.765	🌕	Luna llena
2029-09-30	20.595	🌗	Cuarto menguante
2029-10-07	27.573	🌑	Luna nueva
2029-10-14	 6.954	🌓	Cuarto creciente
2029-10-22	14.019	🌕	Luna llena
2029-10-30	20.979	🌗	Cuarto menguante
2029-11-06	 0.305	🌑	Luna nueva
2029-11-13	 7.394	🌓	Cuarto creciente
2029-11-21	14.245	🌕	Luna llena
2029-11-29	21.459	🌗	Cuarto menguante
2029-12-05	27.825	🌑	Luna nueva
2029-12-12	 6.749	🌓	Cuarto creciente
2029-12-20	13.571	🌕	Luna llena
2029-12-28	21.049	🌗	Cuarto menguante
2030-01-04	 0.351	🌑	Luna nueva
2030-01-11	 6.890	🌓	Cuarto creciente
2030-01-19	13.810	🌕	Luna llena
2030-01-26	20.692	🌗	Cuarto menguante
2030-02-02	27.790	🌑	Luna nueva
2030-02-10	 6.971	🌓	Cuarto creciente
2030-02-18	14.194	🌕	Luna llena
2030-02-25	21.381	🌗	Cuarto menguante
2030-03-04	 0.169	🌑	Luna nueva
2030-03-12	 7.078	🌓	Cuarto creciente
2030-03-19	13.695	🌕	Luna llena
2030-03-26	21.047	🌗	Cuarto menguante
2030-04-03	 0.435	🌑	Luna nueva
2030-04-11	 7.260	🌓	Cuarto creciente
2030-04-18	14.305	🌕	Luna llena
2030-04-24	20.648	🌗	Cuarto menguante
2030-05-02	27.851	🌑	Luna nueva
2030-05-10	 6.723	🌓	Cuarto creciente
2030-05-17	13.939	🌕	Luna llena
2030-05-24	21.196	🌗	Cuarto menguante
2030-06-01	 0.128	🌑	Luna nueva
2030-06-09	 7.259	🌓	Cuarto creciente
2030-06-15	13.602	🌕	Luna llena
2030-06-22	20.724	🌗	Cuarto menguante
2030-06-30	27.584	🌑	Luna nueva
2030-07-08	 6.957	🌓	Cuarto creciente
2030-07-15	14.345	🌕	Luna llena
2030-07-22	21.067	🌗	Cuarto menguante
2030-07-30	27.955	🌑	Luna nueva
2030-08-06	 6.715	🌓	Cuarto creciente
2030-08-13	13.968	🌕	Luna llena
2030-08-21	21.307	🌗	Cuarto menguante
2030-08-29	 0.439	🌑	Luna nueva
2030-09-04	 6.492	🌓	Cuarto creciente
2030-09-11	13.546	🌕	Luna llena
2030-09-19	20.650	🌗	Cuarto menguante
2030-09-27	 0.003	🌑	Luna nueva
2030-10-04	 7.255	🌓	Cuarto creciente
2030-10-11	13.970	🌕	Luna llena
2030-10-19	20.826	🌗	Cuarto menguante
2030-10-26	27.543	🌑	Luna nueva
2030-11-02	 6.961	🌓	Cuarto creciente
2030-11-10	14.267	🌕	Luna llena
2030-11-18	21.092	🌗	Cuarto menguante
2030-11-25	 0.193	🌑	Luna nueva
2030-12-01	 6.521	🌓	Cuarto creciente
2030-12-09	13.591	🌕	Luna llena
2030-12-18	21.433	🌗	Cuarto menguante
2030-12-24	27.698	🌑	Luna nueva
2030-12-31	 6.901	🌓	Cuarto creciente
2031-01-08	13.737	🌕	Luna llena
2031-01-16	20.927	🌗	Cuarto menguante
2031-01-23	 0.293	🌑	Luna nueva
2031-01-30	 7.118	🌓	Cuarto creciente
2031-02-07	13.934	🌕	Luna llena
2031-02-14	20.508	🌗	Cuarto menguante
2031-02-21	27.791	🌑	Luna nueva
2031-03-01	 7.244	🌓	Cuarto creciente
2031-03-09	14.255	🌕	Luna llena
2031-03-16	21.187	🌗	Cuarto menguante
2031-03-23	 0.291	🌑	Luna nueva
2031-03-31	 7.333	🌓	Cuarto creciente
2031-04-07	13.695	🌕	Luna llena
2031-04-14	20.873	🌗	Cuarto menguante
2031-04-21	27.734	🌑	Luna nueva
2031-04-29	 6.666	🌓	Cuarto creciente
2031-05-07	14.278	🌕	Luna llena
2031-05-13	20.615	🌗	Cuarto menguante
2031-05-21	 0.098	🌑	Luna nueva
2031-05-29	 6.950	🌓	Cuarto creciente
2031-06-05	13.910	🌕	Luna llena
2031-06-12	21.310	🌗	Cuarto menguante
2031-06-20	 0.409	🌑	Luna nueva
2031-06-28	 7.376	🌓	Cuarto creciente
2031-07-04	13.581	🌕	Luna llena
2031-07-11	20.928	🌗	Cuarto menguante
2031-07-19	27.870	🌑	Luna nueva
2031-07-27	 6.976	🌓	Cuarto creciente
2031-08-03	14.379	🌕	Luna llena
2031-08-10	21.355	🌗	Cuarto menguante
2031-08-18	 0.198	🌑	Luna nueva
2031-08-25	 6.643	🌓	Cuarto creciente
2031-09-01	14.029	🌕	Luna llena
2031-09-08	20.775	🌗	Cuarto menguante
2031-09-16	27.669	🌑	Luna nueva
2031-09-24	 7.368	🌓	Cuarto creciente
2031-09-30	13.620	🌕	Luna llena
2031-10-08	20.970	🌗	Cuarto menguante
2031-10-16	 0.066	🌑	Luna nueva
